Generation,MaxFitness,AvgFitness,MedianFitness,AvgNodes,AvgEdges,NetworkDensity,SpeciesCount
1,0.32,0.03,0.00,48.24,252.49,0.11,1
2,0.30,0.03,0.00,48.48,252.99,0.11,1
3,0.30,0.03,0.00,48.71,253.54,0.11,1
4,0.40,0.03,0.00,48.94,254.13,0.11,1
5,0.32,0.03,0.00,49.10,254.53,0.11,1
6,0.38,0.03,0.00,49.20,254.78,0.11,1
7,0.38,0.03,0.00,49.36,255.20,0.11,1
8,0.56,0.03,0.00,49.53,255.65,0.11,1
9,0.46,0.03,0.00,49.65,256.03,0.11,1
10,0.50,0.03,0.00,49.75,256.31,0.11,1
11,0.36,0.03,0.00,49.84,256.51,0.11,1
12,0.44,0.03,0.00,49.92,256.66,0.11,1
13,0.46,0.03,0.00,50.01,256.85,0.11,1
14,0.50,0.03,0.00,50.13,257.27,0.10,1
15,0.40,0.03,0.00,50.23,257.65,0.10,1
16,0.48,0.03,0.00,50.30,257.94,0.10,1
17,0.42,0.03,0.00,50.33,257.99,0.10,1
18,0.58,0.03,0.00,50.52,258.50,0.10,1
19,0.48,0.03,0.00,50.64,258.88,0.10,1
20,16.10,0.32,0.00,51.62,261.82,0.10,2
21,0.68,0.03,0.00,51.48,261.32,0.10,2
22,0.40,0.02,0.00,52.41,264.17,0.10,2
23,0.74,0.03,0.00,52.41,264.23,0.10,2
24,0.40,0.03,0.00,52.65,264.97,0.10,1
25,0.42,0.03,0.00,52.80,265.36,0.10,1
26,0.46,0.03,0.00,53.19,266.48,0.10,1
27,0.52,0.02,0.00,53.82,267.92,0.09,2
28,0.56,0.03,0.00,53.91,268.41,0.09,2
29,0.58,0.02,0.00,55.51,273.45,0.09,2
30,3.43,0.18,0.00,56.37,276.10,0.09,2
31,0.52,0.03,0.00,56.20,275.69,0.09,2
32,1.10,0.08,0.00,56.50,276.63,0.09,2
33,0.72,0.03,0.00,56.34,276.39,0.09,2
34,0.56,0.03,0.00,56.12,275.91,0.09,1
35,0.72,0.04,0.00,55.81,275.23,0.09,1
36,0.90,0.02,0.00,56.64,276.83,0.09,2
37,0.58,0.04,0.00,56.51,276.87,0.09,2
38,7.32,0.32,0.00,57.60,280.21,0.09,2
39,21.57,0.32,0.00,57.98,280.71,0.09,3
40,1.82,0.08,0.00,58.28,281.54,0.08,2
41,1.11,0.07,0.00,58.54,282.46,0.08,2
42,15.10,0.31,0.00,60.42,288.43,0.08,3
43,1.32,0.08,0.00,60.35,288.39,0.08,3
44,6.19,0.31,0.00,59.46,285.82,0.08,2
45,6.09,0.27,0.00,58.88,284.15,0.08,2
46,2.36,0.11,0.00,58.58,283.18,0.08,2
47,0.61,0.01,0.00,61.07,290.62,0.08,3
48,0.90,0.07,0.00,61.52,291.99,0.08,3
49,11.62,0.35,0.00,61.15,291.33,0.08,3
50,1.06,0.07,0.00,61.98,293.87,0.08,3
